 .eslintrc.js                                                                                                                |   103 ++++++++++++++++++++++++++++++++---------------------------------
 accessible/tests/browser/e10s/browser_treeupdate_removal.js                                                                 |    67 +++++++++++++++++++++++++++----------------
 accessible/tests/browser/e10s/browser_treeupdate_table.js                                                                   |    73 +++++++++++++++++++++++++---------------------
 accessible/tests/browser/e10s/browser_treeupdate_textleaf.js                                                                |    41 ++++++++++++++------------
 accessible/tests/browser/e10s/browser_treeupdate_visibility.js                                                              |   494 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++--------------------------------------------------------------------------------------------------------------
 accessible/tests/browser/e10s/browser_treeupdate_whitespace.js                                                              |   107 ++++++++++++++++++++++++++++++++++----------------------------------
 accessible/tests/browser/e10s/head.js                                                                                       |     5 ++--
 accessible/tests/browser/events.js                                                                                          |   271 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++----------------------------------------------------------------------------------
 accessible/tests/browser/events/browser_test_docload.js                                                                     |   157 +++++++++++++++++++++++++++++++++++++++++++++++++++++----------------------------------------------
 accessible/tests/browser/events/browser_test_focus_browserui.js                                                             |    64 ++++++++++++++++++++++-------------------
 accessible/tests/browser/events/browser_test_focus_dialog.js                                                                |    87 +++++++++++++++++++++++++++++--------------------------
 accessible/tests/browser/events/browser_test_focus_urlbar.js                                                                |   285 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++--------------------------------------------------------------------------------------
 accessible/tests/browser/events/browser_test_scrolling.js                                                                   |   102 ++++++++++++++++++++++++++++++++++++++++-------------------------
 accessible/tests/browser/events/browser_test_textcaret.js                                                                   |    86 +++++++++++++++++++++++++++++--------------------------
 accessible/tests/browser/events/head.js                                                                                     |     5 ++--
 accessible/tests/browser/general/browser_test_doc_creation.js                                                               |    36 ++++++++++++-----------
 accessible/tests/browser/general/browser_test_urlbar.js                                                                     |    42 ++++++++++++++++-----------
 accessible/tests/browser/general/head.js                                                                                    |    77 ++++++++++++++++++++++++++-----------------------
 accessible/tests/browser/head.js                                                                                            |   127 ++++++++++++++++++++++++++++++++++++++++++--------------------------------------
 accessible/tests/browser/scroll/browser_test_zoom_text.js                                                                   |    53 ++++++++++++++++++++++------------
 accessible/tests/browser/scroll/head.js                                                                                     |     5 ++--
 accessible/tests/browser/shared-head.js                                                                                     |   435 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++---------------------------------------------------------------------------------------------------------------------------------
 accessible/tests/browser/states/browser_test_link.js                                                                        |    39 +++++++++++++++----------
 accessible/tests/browser/states/browser_test_visibility.js                                                                  |    52 +++++++++++++++++----------------
 accessible/tests/browser/states/head.js                                                                                     |     5 ++--
 accessible/tests/browser/tree/browser_aria_owns.js                                                                          |   314 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++------------------------------------------------------------------------------------------
 accessible/tests/browser/tree/head.js                                                                                       |    16 +++++++----
 accessible/tests/crashtests/.eslintrc.js                                                                                    |     4 +--
 accessible/tests/mochitest/.eslintrc.js                                                                                     |    18 ++++++------
 accessible/tests/mochitest/actions.js                                                                                       |   236 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++------------------------------------------------------------------
 accessible/tests/mochitest/attributes.js                                                                                    |   565 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++----------------------------------------------------------------------------------------------------------------------------------------------------------
 accessible/tests/mochitest/autocomplete.js                                                                                  |   206 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++----------------------------------------------------------------
 accessible/tests/mochitest/browser.js                                                                                       |   108 ++++++++++++++++++++++++++++++++++----------------------------------
 accessible/tests/mochitest/common.js                                                                                        |  1193 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 accessible/tests/mochitest/editabletext/editabletext.js                                                                     |   629 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 accessible/tests/mochitest/events.js                                                                                        |  3305 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 accessible/tests/mochitest/grid.js                                                                                          |   248 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++--------------------------------------------------------------------------------
 accessible/tests/mochitest/hyperlink/hyperlink.js                                                                           |    49 ++++++++++++++++---------------
 accessible/tests/mochitest/jsat/jsatcommon.js                                                                               |   788 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 accessible/tests/mochitest/jsat/output.js                                                                                   |   158 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++---------------------------------------
 accessible/tests/mochitest/layout.js                                                                                        |   437 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++---------------------------------------------------------------------------------------------------------
 accessible/tests/mochitest/name.js                                                                                          |    39 ++++++++++++++-----------
 accessible/tests/mochitest/name/markup.js                                                                                   |   618 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 accessible/tests/mochitest/pivot.js                                                                                         |   847 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 accessible/tests/mochitest/relations.js                                                                                     |   227 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-----------------------------------------------------------------
 accessible/tests/mochitest/role.js                                                                                          |    42 +++++++++++++--------------
 accessible/tests/mochitest/selectable.js                                                                                    |   150 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-----------------------------------
 accessible/tests/mochitest/states.js                                                                                        |   373 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++------------------------------------------------------------------------------------------
 accessible/tests/mochitest/table.js                                                                                         |  1473 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 accessible/tests/mochitest/text.js                                                                                          |   890 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 accessible/tests/mochitest/treeview.js                                                                                      |   438 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-----------------------------------------------------------------------------------------------------------------------------------------
 accessible/tests/mochitest/value.js                                                                                         |    45 ++++++++++++++++++++---------
 browser/.eslintrc.js                                                                                                        |    36 +++++++++++------------
 browser/actors/AboutReaderChild.jsm                                                                                         |   278 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++---------------------------------------------------------------------------
 browser/actors/BlockedSiteChild.jsm                                                                                         |   320 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++---------------------------------------------------------------------------------------
 browser/actors/BrowserTabChild.jsm                                                                                          |   196 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-----------------------------------------------------------
 browser/actors/ClickHandlerChild.jsm                                                                                        |   359 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++----------------------------------------------------------------------------------------------------
 browser/actors/ContentSearchChild.jsm                                                                                       |    52 ++++++++++++++++++---------------
 browser/actors/ContextMenuChild.jsm                                                                                         |  1979 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 browser/actors/DOMFullscreenChild.jsm                                                                                       |   136 +++++++++++++++++++++++++++++++++++++++++++++-----------------------------------------
 browser/actors/FormValidationChild.jsm                                                                                      |   338 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-----------------------------------------------------------------------------------------------------
 browser/actors/LightWeightThemeInstallChild.jsm                                                                             |    84 ++++++++++++++++++++++++++++-------------------------
 browser/actors/LightweightThemeChild.jsm                                                                                    |   136 ++++++++++++++++++++++++++++++++++++++++++++++----------------------------------------
 browser/actors/LinkHandlerChild.jsm                                                                                         |   280 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-----------------------------------------------------------------------------------
 browser/actors/NetErrorChild.jsm                                                                                            |  1900 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 browser/actors/OfflineAppsChild.jsm                                                                                         |   202 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-----------------------------------------------------------
 browser/actors/PageInfoChild.jsm                                                                                            |   687 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 browser/actors/PageStyleChild.jsm                                                                                           |   223 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++------------------------------------------------------------------
 browser/actors/PluginChild.jsm                                                                                              |  2154 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 browser/actors/RFPHelperChild.jsm                                                                                           |    24 ++++++++++------
 browser/actors/SearchTelemetryChild.jsm                                                                                     |   240 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++--------------------------------------------------------------------------
 browser/actors/URIFixupChild.jsm                                                                                            |    45 +++++++++++++++--------------
 browser/actors/WebRTCChild.jsm                                                                                              |   822 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 browser/base/content/aboutDialog-appUpdater.js                                                                              |   787 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 browser/base/content/aboutDialog.js                                                                                         |   164 +++++++++++++++++++++++++++++++++++++++++++++++++++++++------------------------------------------------
 browser/base/content/aboutNetError.js                                                                                       |   656 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 browser/base/content/aboutRestartRequired.js                                                                                |    35 +++++++++++-----------
 browser/base/content/aboutRobots.js                                                                                         |    14 ++++-----
 browser/base/content/aboutTabCrashed.js                                                                                     |   583 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 browser/base/content/blockedSite.js                                                                                         |   215 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++--------------------------------------------------------------------
 browser/base/content/browser-addons.js                                                                                      |  1774 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 browser/base/content/browser-allTabsMenu.js                                                                                 |   298 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-------------------------------------------------------------------------------
