 .eslintrc.js                                                                                                                |    87 +++++++++++++++++++++++++++++++--------------------------------
 accessible/tests/browser/tree/browser_aria_owns.js                                                                          |    90 +++++++++++++++++++++++++++++++++++++++++-------------------------
 accessible/tests/browser/tree/head.js                                                                                       |    10 +++++---
 accessible/tests/crashtests/.eslintrc.js                                                                                    |     4 +--
 accessible/tests/mochitest/.eslintrc.js                                                                                     |     8 +++---
 accessible/tests/mochitest/actions.js                                                                                       |    71 ++++++++++++++++++++++++++++++++--------------------
 accessible/tests/mochitest/attributes.js                                                                                    |   250 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++------------------------------------------------------------------
 accessible/tests/mochitest/autocomplete.js                                                                                  |    56 ++++++++++++++++++++++-------------------
 accessible/tests/mochitest/browser.js                                                                                       |    39 ++++++++++++++---------------
 accessible/tests/mochitest/common.js                                                                                        |   505 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++------------------------------------------------------------------------------------------------------------------------------------------------------
 accessible/tests/mochitest/editabletext/editabletext.js                                                                     |   214 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++--------------------------------------------
 accessible/tests/mochitest/events.js                                                                                        |  1111 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 accessible/tests/mochitest/grid.js                                                                                          |    18 +++++---------
 accessible/tests/mochitest/hyperlink/hyperlink.js                                                                           |    17 +++++++------
 accessible/tests/mochitest/jsat/jsatcommon.js                                                                               |   149 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++----------------------------------------
 accessible/tests/mochitest/jsat/output.js                                                                                   |    78 +++++++++++++++++++++++++++++++++++++++++----------------
 accessible/tests/mochitest/layout.js                                                                                        |   233 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-----------------------------------------------
 accessible/tests/mochitest/name.js                                                                                          |    13 +++++-----
 accessible/tests/mochitest/name/markup.js                                                                                   |   194 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++----------------------------------------------------
 accessible/tests/mochitest/pivot.js                                                                                         |   373 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++----------------------------------------------------------------------------------------
 accessible/tests/mochitest/relations.js                                                                                     |    46 ++++++++++++++++++++--------------
 accessible/tests/mochitest/role.js                                                                                          |     6 ++---
 accessible/tests/mochitest/selectable.js                                                                                    |    80 +++++++++++++++++++++++++++++++++++++++++++---------------
 accessible/tests/mochitest/states.js                                                                                        |   199 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++------------------------------------------
 accessible/tests/mochitest/table.js                                                                                         |   628 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++------------------------------------------------------------------------------------------------------------------------------------------
 accessible/tests/mochitest/text.js                                                                                          |   525 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-----------------------------------------------------------------------------------------------------------
 accessible/tests/mochitest/treeview.js                                                                                      |    82 +++++++++++++++++++++++++++++++-----------------------------
 accessible/tests/mochitest/value.js                                                                                         |    41 +++++++++++++++++++++---------
 browser/.eslintrc.js                                                                                                        |     6 ++---
 browser/actors/AboutReaderChild.jsm                                                                                         |    69 ++++++++++++++++++++++++++++++++++++--------------
 browser/actors/BlockedSiteChild.jsm                                                                                         |   139 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++---------------------------------
 browser/actors/BrowserTabChild.jsm                                                                                          |    74 +++++++++++++++++++++++++++++-------------------------
 browser/actors/ClickHandlerChild.jsm                                                                                        |   128 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++--------------------------------
 browser/actors/ContentSearchChild.jsm                                                                                       |    24 +++++++++++-------
 browser/actors/ContextMenuChild.jsm                                                                                         |   463 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++---------------------------------------------------------------------------------------------------------------------------------
 browser/actors/DOMFullscreenChild.jsm                                                                                       |    18 +++++++++-----
 browser/actors/FormValidationChild.jsm                                                                                      |    37 ++++++++++++++++++---------
 browser/actors/LightWeightThemeInstallChild.jsm                                                                             |    15 ++++++-----
 browser/actors/LightweightThemeChild.jsm                                                                                    |    24 +++++++++++-------
 browser/actors/LinkHandlerChild.jsm                                                                                         |    43 +++++++++++++++++++++-----------
 browser/actors/NetErrorChild.jsm                                                                                            |   628 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++----------------------------------------------------------------------------------------------------------------------------------------------------------
 browser/actors/OfflineAppsChild.jsm                                                                                         |    56 ++++++++++++++++++++++++-----------------
 browser/actors/PageInfoChild.jsm                                                                                            |   166 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++----------------------------------
 browser/actors/PageStyleChild.jsm                                                                                           |    39 ++++++++++++++++++-----------
 browser/actors/PluginChild.jsm                                                                                              |   601 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++--------------------------------------------------------------------------------------------------------------------------------------------------------
 browser/actors/RFPHelperChild.jsm                                                                                           |    16 +++++++++---
 browser/actors/SearchTelemetryChild.jsm                                                                                     |    12 +++++----
 browser/actors/URIFixupChild.jsm                                                                                            |    13 +++++-----
 browser/actors/WebRTCChild.jsm                                                                                              |   205 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++--------------------------------------------------
 browser/base/content/aboutDialog-appUpdater.js                                                                              |   281 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-------------------------------------------------------------------------------------
 browser/base/content/aboutDialog.js                                                                                         |    22 ++++++++++------
 browser/base/content/aboutNetError.js                                                                                       |   219 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++--------------------------------------------------------------
 browser/base/content/aboutRestartRequired.js                                                                                |     9 ++++---
 browser/base/content/aboutTabCrashed.js                                                                                     |    36 +++++++++++----------------
 browser/base/content/blockedSite.js                                                                                         |    33 ++++++++++++------------
 browser/base/content/browser-addons.js                                                                                      |   933 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 browser/base/content/browser-allTabsMenu.js                                                                                 |    92 +++++++++++++++++++++++++++++++++++++++++++------------------------
 browser/base/content/browser-captivePortal.js                                                                               |    63 +++++++++++++++++++++++++++++++---------------
 browser/base/content/browser-compacttheme.js                                                                                |    18 ++++++++------
 browser/base/content/browser-contentblocking.js                                                                             |   766 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 browser/base/content/browser-ctrlTab.js                                                                                     |   251 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++------------------------------------------------------------------------------------
 browser/base/content/browser-customization.js                                                                               |    23 +++++++++--------
 browser/base/content/browser-data-submission-info-bar.js                                                                    |    46 ++++++++++++++++++++++------------
 browser/base/content/browser-development-helpers.js                                                                         |    11 +++++---
 browser/base/content/browser-fullScreenAndPointerLock.js                                                                    |   201 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-------------------------------------------------------------
 browser/base/content/browser-fullZoom.js                                                                                    |   187 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++------------------------------------------------
 browser/base/content/browser-gestureSupport.js                                                                              |   232 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++--------------------------------------------------------------------
 browser/base/content/browser-media.js                                                                                       |   234 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++--------------------------------------------------------
 browser/base/content/browser-pageActions.js                                                                                 |   372 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++--------------------------------------------------------------------------------------------------
 browser/base/content/browser-places.js                                                                                      |   790 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 browser/base/content/browser-plugins.js                                                                                     |   307 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++--------------------------------------------------------------------
 browser/base/content/browser-safebrowsing.js                                                                                |    21 ++++++++++------
 browser/base/content/browser-sidebar.js                                                                                     |   191 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++----------------------------------------------------
 browser/base/content/browser-siteIdentity.js                                                                                |   560 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++---------------------------------------------------------------------------------------------------------------------------------------
 browser/base/content/browser-sync.js                                                                                        |   480 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-----------------------------------------------------------------------------------------------------------
 browser/base/content/browser-tabsintitlebar.js                                                                              |   216 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-------------------------------------------------------------------------------
 browser/base/content/browser-thumbnails.js                                                                                  |    58 ++++++++++++++++++++++++++----------------
 browser/base/content/browser-toolbarKeyNav.js                                                                               |    56 +++++++++++++++++++++++++----------------
 browser/base/content/browser-webrender.js                                                                                   |     2 +-
 browser/base/content/browser.js                                                                                             |  4376 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 browser/base/content/content-refreshblocker.js                                                                              |    31 +++++++++++++++--------
 browser/base/content/content.js                                                                                             |    22 +++++++++++-----
 browser/base/content/contentSearchUI.js                                                                                     |  1782 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 browser/base/content/contentTheme.js                                                                                        |   269 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++--------------------------------------------------------------------------------------------
 browser/base/content/newInstall.js                                                                                          |     5 +++-
 browser/base/content/newInstallPage.js                                                                                      |    22 +++++++++-------
 browser/base/content/nonbrowser-mac.js                                                                                      |    75 ++++++++++++++++++++++++++++++++++++-------------------
 browser/base/content/nsContextMenu.js                                                                                       |  1329 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 browser/base/content/pageinfo/pageInfo.js                                                                                   |   714 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 browser/base/content/pageinfo/permissions.js                                                                                |    40 +++++++++++++++++++----------
 browser/base/content/pageinfo/security.js                                                                                   |   199 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++----------------------------------------------------------
 browser/base/content/safeMode.js                                                                                            |    24 +++++++++++-------
 browser/base/content/sanitizeDialog.js                                                                                      |    51 ++++++++++++++++++++++---------------
 browser/base/content/tab-content.js                                                                                         |    83 ++++++++++++++++++++++++++++++++++++++++++++++--------------
